donor,recipient,amount,latitude_donor,longitude_donor,latitude_recipient,longitude_recipient
Australia,Afghanistan,1064924324,-25.274398,133.775136,33.93911,67.709953
Austria,Afghanistan,9024646,47.516231,14.550072,33.93911,67.709953
Belgium,Afghanistan,93880787,50.503887,4.469936,33.93911,67.709953
Brazil,Afghanistan,174940,-14.235004,-51.92528,33.93911,67.709953
Canada,Afghanistan,1765099638,56.130366,-106.34677099999999,33.93911,67.709953
Colombia,Afghanistan,159339,4.570868,-74.297333,33.93911,67.709953
Cyprus,Afghanistan,149951,35.126413,33.429859,33.93911,67.709953
Czech Republic,Afghanistan,29249609,49.817492,15.472961999999999,33.93911,67.709953
Denmark,Afghanistan,570450229,56.26392,9.501785,33.93911,67.709953
Estonia,Afghanistan,5447717,58.595271999999994,25.013607,33.93911,67.709953
Finland,Afghanistan,286240297,61.92411,25.748151,33.93911,67.709953
France,Afghanistan,448849855,46.227638,2.213749,33.93911,67.709953
Germany,Afghanistan,3451042646,51.165690999999995,10.451526,33.93911,67.709953
Greece,Afghanistan,49874133,39.074208,21.824312,33.93911,67.709953
Hungary,Afghanistan,5229022,47.162494,19.503304,33.93911,67.709953
Iceland,Afghanistan,2998719,64.96305100000001,-19.020835,33.93911,67.709953
India,Afghanistan,548710682,20.593684,78.96288,33.93911,67.709953
Ireland,Afghanistan,50336616,53.41291,-8.243889999999999,33.93911,67.709953
Italy,Afghanistan,506855204,41.87194,12.56738,33.93911,67.709953
Japan,Afghanistan,3663916717,36.204824,138.252924,33.93911,67.709953
Latvia,Afghanistan,170826,56.879635,24.603189,33.93911,67.709953
Liechtenstein,Afghanistan,188405,47.166000000000004,9.555373,33.93911,67.709953
Lithuania,Afghanistan,4527377,55.169438,23.881275,33.93911,67.709953
Luxembourg,Afghanistan,26134819,49.815273,6.129583,33.93911,67.709953
Netherlands,Afghanistan,1023140056,52.132633,5.291266,33.93911,67.709953
New Zealand,Afghanistan,65955492,-40.900557,174.88597099999998,33.93911,67.709953
Norway,Afghanistan,1150232612,60.472024,8.468946,33.93911,67.709953
Poland,Afghanistan,3412892,51.919438,19.145135999999997,33.93911,67.709953
Portugal,Afghanistan,55051815,39.399871999999995,-8.224454,33.93911,67.709953
