Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,18593347519,19666256020,19911524247,21527606675,23787658192,25962593795,27288610147,30421099787,32687870982,36659200358,41304737373,45183111211,52003504673,63782190903,88906411201,97226546497,1.04974E+11,1.10266E+11,1.18401E+11,1.34794E+11,1.49887E+11,1.76805E+11,1.93955E+11,1.77176E+11,1.93504E+11,1.80471E+11,1.82282E+11,1.89376E+11,2.36136E+11,2.99941E+11,3.11426E+11,3.26069E+11,3.25693E+11,3.12373E+11,3.23217E+11,3.68392E+11,4.01819E+11,4.36098E+11,3.99779E+11,3.89147E+11,4.15446E+11,3.789E+11,3.94636E+11,4.66853E+11,6.1333E+11,6.93764E+11,7.47573E+11,8.53765E+11,1.05533E+12,9.27168E+11,1.14288E+12,1.39056E+12,1.53819E+12,1.56718E+12,1.4596E+12,1.34538E+12,1.20462E+12
Australia,AUS,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2611714638,2952178295,2512039422,2974577220,3270243028,3959009968,4124762011,4222197335,4730652929,4882965618,5455258148,5839399709,6251168224,7062139654,11784819455,14352041513,14071599647,16180316586,17304308595,20742928547,23893036212,29641239986,32685644930,27726719701,29067197971,31256424024,32979854505,32383536263,39316065192,50963276606,53254328588,52891452790,53566869184,55920460933,59734347976,73036828037,77569802731,81973704805,81368785186,80249404687,89083715380,83150692283,81408539138,98146185207,1.2079E+11,1.44095E+11,1.59927E+11,1.83462E+11,2.35793E+11,2.07759E+11,2.33202E+11,2.79402E+11,3.28788E+11,3.27211E+11,3.07764E+11,2.84286E+11,2.53979E+11
Australia,AUS,Exports of goods and services (current US$),NE.EXP.GNFS.CD,2413484153,2437003024,2772986897,2796505768,3549109643,3428155449,3525590772,3915332064,4016127226,4377869862,5354462986,5715085676,6663551402,9019859065,11680176861,13874095316,14185049792,15449644414,16123392736,19275247075,24616155989,26334610473,26231932031,24060832943,26236189096,27497123571,27321628428,29290629963,37674621653,45334256168,47071950750,52249430971,54226716911,54747048904,58015219647,65793733294,75814112291,83327594303,78237807773,71357312946,80650631162,83817752495,81500104646,88243447874,1.0424E+11,1.25269E+11,1.46423E+11,1.69724E+11,2.08368E+11,2.08703E+11,2.22103E+11,2.9385E+11,3.27174E+11,3.09446E+11,3.03843E+11,2.64829E+11,2.27285E+11
Australia,AUS,"Population, total",SP.POP.TOTL,10276477,10483000,10742000,10950000,11167000,11388000,11651000,11799000,12009000,12263000,12507000,12937000,13177000,13380000,13723000,13893000,14033000,14192000,14358000,14514000,14692000,14927000,15178000,15369000,15544000,15758000,16018400,16263900,16532200,16814400,17065100,17284000,17495000,17667000,17855000,18072000,18311000,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22728254,23117353,23460694,23789338,24127159
Australia,AUS,Population in largest city,EN.URB.LCTY,2134673,2183523,2233459,2284537,2336856,2390224,2445016,2549933,2659506,2773466,2892477,3016037,3041223,3066549,3092121,3117906,3143945,3170608,3197534,3224688,3252111,3279743,3317267,3355221,3393661,3432435,3471704,3511087,3550973,3591200,3631940,3673110,3709185,3745512,3782247,3819341,3856907,3904835,3953426,4002622,4052499,4102745,4133013,4163504,4194262,4225162,4256307,4283072,4310042,4337107,4364380,4391824,4419441,4447231,4475196,4505341,4539598
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,1809.311452,1876.01412,1853.614248,1965.991477,2130.17446,2279.820319,2342.168925,2578.277802,2721.947788,2989.415344,3302.529573,3492.549371,3946.535985,4766.979888,6478.642513,6998.239869,7480.521526,7769.59668,8246.317846,9287.158625,10201.9783,11844.63254,12778.66257,11528.1681,12448.78373,11452.65689,11379.52337,11643.94718,14283.38445,17838.36312,18249.28849,18865.34352,18616.32081,17681.14687,18102.31756,20384.66929,21944.15506,23551.22217,21365.98141,20561.47678,21690.921,19517.84168,20081.81763,23465.38559,30472.37977,34016.71483,36118.28381,40991.98289,49664.68504,42742.99898,51874.08048,62245.10029,67677.63477,67792.30386,62214.60912,56554.03876,49927.81951
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,15165569913,15236854859,19926293839,23021477292,21211892260,21790035117,27062716578,30591834054,33875881876,37458898244,42327600098,49204456700,58539008786,79279057731,1.05136E+11,1.23709E+11,1.52678E+11,1.76171E+11,2.00801E+11,2.24969E+11,2.35025E+11,2.63561E+11,2.81682E+11,2.03305E+11,2.09024E+11,2.22943E+11,2.68137E+11,2.94084E+11,3.30397E+11,4.25595E+11,4.61952E+11,6.0286E+11,4.00599E+11,4.37799E+11,5.58112E+11,7.85643E+11,8.50426E+11,8.83199E+11,8.63723E+11,5.99389E+11,6.55421E+11,5.59373E+11,5.07963E+11,5.5832E+11,6.69316E+11,8.9163E+11,1.10764E+12,1.39708E+12,1.69582E+12,1.66702E+12,2.20887E+12,2.6162E+12,2.46519E+12,2.47281E+12,2.45599E+12,1.80365E+12,1.79619E+12
Brazil,BRA,Exports of goods and services (current US$),NE.EXP.GNFS.CD,1070544629,1109152823,770900519.7,2080325262,1354466135,1685625122,1846958712,1764834055,2032731103,2479930322,2975391707,3155632739,4249449496,6557708238,8424673828,9325921437,10741988183,12776590679,13404621905,16026612550,21276141968,24828388399,21435129573,23221079049,28317692073,27305943051,23640556197,27820190045,35974382968,38004000000,37880000000,52310000000,43538125000,45983167702,53941811356,57921978860,57235100985,61679962894,60724687635,57330688268,66775075157,69203724173,72286328432,84757556061,1.10744E+11,1.35918E+11,1.59216E+11,1.86198E+11,2.29513E+11,1.80894E+11,2.37192E+11,2.99977E+11,2.88502E+11,2.87592E+11,2.70453E+11,2.32477E+11,2.24312E+11
Brazil,BRA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,1079376915,1118302726,1033970196,2097486801,1204326396,1210637974,1621508461,1764834055,2239326015,2454948720,3153304260,4004245614,5177234172,7532763885,14596797400,14233481673,14401534168,13948797700,15791774011,20642227950,26571483280,25827534749,23307743171,18314364419,16563864377,15818492272,17038985217,18211636976,18807996682,23242900391,32160000000,47710000000,33590625000,39822360248,53957453465,72751443827,75733757835,84720779221,81259801810,68433900920,81610822629,81470538220,68004708451,72356191095,87897777778,1.05596E+11,1.29232E+11,1.6716E+11,2.32728E+11,1.87616E+11,2.60188E+11,3.20105E+11,3.22009E+11,3.44504E+11,3.35819E+11,2.53714E+11,2.17796E+11
Brazil,BRA,"Population, total",SP.POP.TOTL,72207554,74351763,76573248,78854019,81168654,83498020,85837799,88191378,90557064,92935072,95326793,97728961,100143598,102584278,105069367,107612100,110213082,112867867,115577669,118342626,121159761,124030908,126947365,129882321,132800684,135676281,138499464,141273488,144001542,146691981,149352145,151976577,154564278,157132682,159705123,162296612,164913306,167545164,170170640,172759243,175287587,177750670,180151021,182482149,184738458,186917361,189012412,191026637,192979029,194895996,196796269,198686688,200560983,202408632,204213133,205962108,207652865
